mu,z,g,alpha,c,epsilon,b_R,beta,a,b_T,e_T,e_R,kA,j,kB,n,d,f,nK,rK,Ki,Kj,Error,Wterror,Koerror,EntryNumber
700,0.3044,0.1581,100,0.042,0.15017,0.79857,4.614,0.0948,0.6536,100,393,200000,2.9788E-06,4.6319,1,1000,1.3863,2000000,300000,0,0,34063000,21279000,12784000,1
0.1045,0.012175,0.0691,0.0050018,0.001,0.008,0.0352,0.01,0.029966,0.066,100,393,298590,0,4.6319,1,1000,1.3863,2000000,400000,0,0,14772,616.21,14156,2
0.121,0.016,0.0691,0.0015,0.0025,0.015,0.0352,0.045,0.008,0.03,100,393,298590,0,4.6319,1,1000,1.3863,6000000,1000000,0,0,4098.9,480.52,3618.3,3
0.12507,0.01,0.0691,0.001,0.0015,0.013934,0.0352,0.043,0.0075,0.035,100,393,330680,0,4.6319,1,1000,1.3863,5734600,1000000,0,0,2064.5,272.77,1791.8,4
0.1251,0.015292,0.0691,0.001164,0.0015,0.010298,0.0352,0.043,0.0075681,0.031391,100,393,329080,5E-07,4.6319,1,1000,1.3863,5734600,1000000,0,0,5883.5,353.06,5530.5,5
0.1251,0.0153,0.0691,0.0019,0.0015,0.02,0.0352,0.05,0.0076,0.0314,100,589.16,398740,9.9903E-08,7.7289,1,1000,1.3863,5734600,1000000,20,20,922.45,151.79,770.66,6
0.28,0.1,0.0691,0.0019,0.0015,0.02,0.0352,0.27,0.007,0.0314,100,200,100000,9.99E-05,7.7289,1,1000,1.3863,5000000,1000000,10,10,344170,30049,314120,7
0.26501,0.02633,0.0691,0.0019,0.0015,0.02,0.0352,0.21153,0.0076,0.0314,100,200,100000,9.99E-05,7.7289,1,1000,1.3863,5734600,1000000,7.1604,7.1604,380.61,190.82,189.79,8
0.15,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.079,0.0076,0,100,589.16,100000,1.99E-06,7.7289,1,1000,1.3863,5734600,1000000,2,2,706.78,294.73,412.05,9
0.13018,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.062,0.0076,0,100,200,100000,9.0789E-08,7.7289,1,1000,1.3863,5734600,1000000,0.8489,0.8489,2041.9,1595.9,446.01,10
0.1302,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.062,0.0076,0,100,200,100000,9.0789E-07,7.7289,1,1000,1.3863,5734600,1000000,1.0516,7.3483,830.52,504.01,326.52,11
0.134,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.062,0.0076,0,100,200,100000,9.0789E-07,7.7289,1,1000,1.3863,5734600,1000000,1.0516,7.3483,1390.5,769.66,620.85,12
0.134,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.062,0.0076,0,100,200,1e+05,9.0789e-07,7.7289,1,1000,1.3863,5.7346e+06,1e+06,1.0516,7.3483,1390.5,769.66,620.85,13
0.14733,0.0153,0.0691,0.0015,0.001,0.018,0.039,0.077597,0.0076,0.031282,100,200,3.5775e+05,8.9759e-07,4.2533,1,1000,1.3863,5.7346e+06,1e+06,6.8194,2.4619,3.237e+06,1.5275e+06,1.7095e+06,14
